Index,Date,Average Price,Type,Year,Region,Total Volume
0,27/12/2015,1.33,conventional,2015,Albany,64236.62
1,20/12/2015,1.35,conventional,2015,Albany,54876.98
2,13/12/2015,0.93,conventional,2015,Albany,118220.22
3,6/12/2015,1.08,conventional,2015,Albany,78992.15
4,29/11/2015,1.28,conventional,2015,Albany,51039.6
5,22/11/2015,1.26,conventional,2015,Albany,55979.78
6,15/11/2015,0.99,conventional,2015,Albany,83453.76
7,8/11/2015,0.98,conventional,2015,Albany,109428.33
8,1/11/2015,1.02,conventional,2015,Albany,99811.42
9,25/10/2015,1.07,conventional,2015,Albany,74338.76
10,18/10/2015,1.12,conventional,2015,Albany,84843.44
11,11/10/2015,1.28,conventional,2015,Albany,64489.17
12,4/10/2015,1.31,conventional,2015,Albany,61007.1
13,27/09/2015,0.99,conventional,2015,Albany,106803.39
14,20/09/2015,1.33,conventional,2015,Albany,69759.01
15,13/09/2015,1.28,conventional,2015,Albany,76111.27
16,6/09/2015,1.11,conventional,2015,Albany,99172.96
17,30/08/2015,1.07,conventional,2015,Albany,105693.84
18,23/08/2015,1.34,conventional,2015,Albany,79992.09
19,16/08/2015,1.33,conventional,2015,Albany,80043.78
20,9/08/2015,1.12,conventional,2015,Albany,111140.93
21,2/08/2015,1.45,conventional,2015,Albany,75133.1
22,26/07/2015,1.11,conventional,2015,Albany,106757.1
23,19/07/2015,1.26,conventional,2015,Albany,96617
24,12/07/2015,1.05,conventional,2015,Albany,124055.31
25,5/07/2015,1.35,conventional,2015,Albany,109252.12
26,28/06/2015,1.37,conventional,2015,Albany,89534.81
27,21/06/2015,1.27,conventional,2015,Albany,104849.39
28,14/06/2015,1.32,conventional,2015,Albany,89631.3
29,7/06/2015,1.07,conventional,2015,Albany,122743.06
30,31/05/2015,1.23,conventional,2015,Albany,95123.62
31,24/05/2015,1.19,conventional,2015,Albany,101470.91
32,17/05/2015,1.43,conventional,2015,Albany,109857.47
33,10/05/2015,1.26,conventional,2015,Albany,120427.91
34,3/05/2015,1.2,conventional,2015,Albany,59197.67
35,26/04/2015,1.22,conventional,2015,Albany,49585.46
36,19/04/2015,1.19,conventional,2015,Albany,49064.73
37,12/04/2015,1.13,conventional,2015,Albany,48364.29
38,5/04/2015,1.16,conventional,2015,Albany,47362.13
39,29/03/2015,1.02,conventional,2015,Albany,67799.08
40,22/03/2015,1.12,conventional,2015,Albany,46346.85
41,15/03/2015,1.11,conventional,2015,Albany,43045.79
42,8/03/2015,1.07,conventional,2015,Albany,40507.36
43,1/03/2015,0.99,conventional,2015,Albany,55595.74
44,22/02/2015,1.07,conventional,2015,Albany,45675.05
45,15/02/2015,1.06,conventional,2015,Albany,41567.62
46,8/02/2015,0.99,conventional,2015,Albany,51253.97
47,1/02/2015,0.99,conventional,2015,Albany,70873.6
48,25/01/2015,1.06,conventional,2015,Albany,45147.5
